ID,ID_inline,Plant,Repetition,Concentration,Shoot_length_1,Shoot_length_2,Shoot_length_3,Shoot_length_4,Shoot_length_5,Shoot_length_7,Shoot_length_9,Shoot_length_10,Shoot_length_13,Shoot_length_14,germination_1,germination_2,germination_3,germination_4,germination_5,germination_7,germination_9,germination_10,germination_13,germination_14
170,10,owies,1,12.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,no,no,no,no,no,no,no,no,no,yes
171,11,owies,1,12.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,no,no,no,no,no,no,no,no,no,yes
172,12,owies,1,12.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
173,13,owies,1,12.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
174,14,owies,1,12.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
175,15,owies,1,12.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
176,16,owies,1,12.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
177,17,owies,1,12.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
178,18,owies,1,12.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
179,19,owies,1,12.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
180,20,owies,1,12.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
181,1,owies,2,12.5,0.00,0.00,0.20,0.25,0.30,0.30,0.40,0.40,0.40,0.40,no,no,yes,yes,yes,yes,yes,yes,yes,yes
